编号	号段	用途说明
1	134(0-8)	中国移动早期 2G 号段，1349 为中国电信卫星通信号段，不属于移动
2	135	中国移动经典 2G 号段，1997 年启用，适用于语音、数据等基础通信服务
3	136	中国移动经典 2G 号段，1997 年启用，广泛用于全球通、神州行等品牌
4	137	中国移动经典 2G 号段，1999 年启用，用户基数大，覆盖广
5	138	中国移动经典 2G 号段，1997 年启用，有 "要生发" 的寓意，受商业人士青睐
6	139	中国移动最早号段之一，1995 年启用，被誉为 "老板号"，历史沉淀感强，收藏价值高
7	1440	中国移动物联网专用号段，用于各类物联网设备连接
8	147	中国移动数据卡 / 物联网专用号段，主要用于无线上网卡等数据终端
9	148	中国移动数据卡 / 物联网专用号段，用于物联网和数据业务
10	150	中国移动 2G/3G 过渡号段，2004 年启用，覆盖广，适合基础通信需求
11	151	中国移动 2G/3G 过渡号段，适用于语音和数据业务，用户群体广泛
12	152	中国移动 2G/3G 过渡号段，2008 年启用，支持多种移动业务
13	157	中国移动 3G TD-SCDMA 专用号段，2008 年启用，后兼容 4G/5G 网络
14	158	中国移动 2G/3G 过渡号段，2004 年启用，信号稳定，适合日常通信
15	159	中国移动 2G/3G 过渡号段，2004 年启用，早期高端用户较多
16	165	中国移动与虚拟运营商合作号段，由虚拟运营商负责运营和销售
17	172	中国移动 4G/5G 号段，2018 年启用，为移动互联网用户提供更多号码选择
18	178	中国移动 4G/5G 号段，2017 年启用，支持高速数据业务，适合年轻用户
19	182	中国移动 4G 主力号段，2010 年启用，无虚量风险，网速快
20	183	中国移动 4G 主力号段，支持高清语音和高速数据，适合多媒体应用
21	184	中国移动 4G 主力号段，覆盖全国，适合各类移动互联网业务
22	187	中国移动 3G/4G 过渡号段，2009 年启用，后升级支持 5G 网络
23	188	中国移动 TD-SCDMA 3G 专属号段，2009 年启用，5G 时代仍在使用
24	195	中国移动 5G 专用号段，2019 年启用，速率优先，适合 5G 高速应用场景
25	197	中国移动 5G 专用号段，2019 年启用，面向 5G 高端用户群体
26	198	中国移动 5G 专属号段，2018 年启用，寓意 "要久发"，受年轻用户青睐
